wave[um],flux[W/m^2/um]
0.5124,5.1194e-19
0.5127,4.7600e-19
0.5129,4.3137e-19
0.5132,4.3040e-19
0.5134,4.5575e-19
0.5137,4.4807e-19
0.5140,4.2619e-19
0.5142,3.9965e-19
0.5145,3.8059e-19
0.5147,3.6310e-19
0.5150,3.4763e-19
0.5152,3.3028e-19
0.5155,3.0796e-19
0.5158,3.0771e-19
0.5160,3.2481e-19
0.5163,3.3407e-19
0.5165,3.1863e-19
0.5168,2.8487e-19
0.5171,2.5524e-19
0.5173,2.4427e-19
0.5176,2.4233e-19
0.5178,2.3693e-19
0.5181,2.3115e-19
0.5183,2.3398e-19
0.5186,2.5047e-19
0.5189,2.7068e-19
0.5191,2.8124e-19
0.5194,2.8289e-19
0.5196,2.8340e-19
0.5199,2.7932e-19
0.5202,2.7431e-19
0.5204,2.7155e-19
0.5207,2.6635e-19
0.5209,2.5801e-19
0.5212,2.6864e-19
0.5215,2.9794e-19
0.5217,3.0984e-19
0.5220,3.1585e-19
0.5222,3.2246e-19
0.5225,3.1955e-19
0.5228,2.9845e-19
0.5230,2.6146e-19
0.5233,2.4487e-19
0.5236,2.4624e-19
0.5238,2.5516e-19
0.5241,2.6128e-19
0.5243,2.6579e-19
0.5246,2.6756e-19
0.5249,2.6850e-19
0.5251,2.6651e-19
0.5254,2.6526e-19
0.5257,2.6640e-19
0.5259,2.6116e-19
0.5262,2.5199e-19
0.5264,2.4906e-19
0.5267,2.5068e-19
0.5270,2.5204e-19
0.5272,2.5133e-19
0.5275,2.4353e-19
0.5278,2.3245e-19
0.5280,2.3069e-19
0.5283,2.3450e-19
0.5286,2.3864e-19
0.5288,2.4189e-19
0.5291,2.4487e-19
0.5293,2.4501e-19
0.5296,2.4697e-19
0.5299,2.5056e-19
0.5301,2.4861e-19
0.5304,2.4635e-19
0.5307,2.4464e-19
0.5309,2.4543e-19
0.5312,2.4712e-19
0.5315,2.4681e-19
0.5317,2.4611e-19
0.5320,2.4448e-19
0.5323,2.4207e-19
0.5325,2.3902e-19
0.5328,2.3319e-19
0.5331,2.3020e-19
0.5333,2.3132e-19
0.5336,2.2877e-19
0.5339,2.2237e-19
0.5341,2.1773e-19
0.5344,2.1759e-19
0.5347,2.1915e-19
0.5349,2.1607e-19
0.5352,2.1148e-19
0.5355,2.0804e-19
0.5357,2.0733e-19
0.5360,2.0615e-19
0.5363,2.0425e-19
0.5365,2.0385e-19
0.5368,2.0396e-19
0.5371,2.0306e-19
0.5373,2.0209e-19
0.5376,2.0349e-19
0.5379,2.0512e-19
0.5381,2.0509e-19
0.5384,2.0410e-19
0.5387,2.0119e-19
0.5390,1.9770e-19
0.5392,1.9343e-19
0.5395,1.8969e-19
0.5398,1.8717e-19
0.5400,1.8491e-19
0.5403,1.8293e-19
0.5406,1.8117e-19
0.5408,1.7887e-19
0.5411,1.7569e-19
0.5414,1.7320e-19
0.5417,1.7107e-19
0.5419,1.6908e-19
0.5422,1.6772e-19
0.5425,1.6658e-19
0.5427,1.6489e-19
0.5430,1.6262e-19
0.5433,1.6107e-19
0.5436,1.6011e-19
0.5438,1.5824e-19
0.5441,1.5651e-19
0.5444,1.5578e-19
0.5446,1.5359e-19
0.5449,1.4876e-19
0.5452,1.4427e-19
0.5455,1.4244e-19
0.5457,1.4159e-19
0.5460,1.4089e-19
0.5463,1.4000e-19
0.5466,1.3841e-19
0.5468,1.3322e-19
0.5471,1.2440e-19
0.5474,1.2028e-19
0.5476,1.1964e-19
0.5479,1.1966e-19
0.5482,1.1919e-19
0.5485,1.1766e-19
0.5487,1.1637e-19
0.5490,1.1614e-19
0.5493,1.1655e-19
0.5496,1.1595e-19
0.5498,1.1313e-19
0.5501,1.1094e-19
0.5504,1.1038e-19
0.5507,1.0979e-19
0.5509,1.0871e-19
0.5512,1.0696e-19
0.5515,1.0571e-19
0.5518,1.0435e-19
0.5520,1.0343e-19
0.5523,1.0250e-19
0.5526,1.0124e-19
0.5529,1.0071e-19
0.5532,1.0044e-19
0.5534,9.9508e-20
0.5537,9.7815e-20
0.5540,9.5867e-20
0.5543,9.4613e-20
0.5545,9.4144e-20
0.5548,9.3198e-20
0.5551,9.1759e-20
0.5554,9.0422e-20
0.5556,8.8840e-20
0.5559,8.7672e-20
0.5562,8.6425e-20
0.5565,8.4953e-20
0.5568,8.3979e-20
0.5570,8.2793e-20
0.5573,8.1329e-20
0.5576,8.0171e-20
0.5579,7.9129e-20
0.5581,7.8130e-20
0.5584,7.7132e-20
0.5587,7.6058e-20
0.5590,7.4961e-20
0.5593,7.3788e-20
0.5595,7.2343e-20
0.5598,7.0627e-20
0.5601,6.8972e-20
0.5604,6.7466e-20
0.5607,6.5960e-20
0.5609,6.4492e-20
0.5612,6.3058e-20
0.5615,6.1653e-20
0.5618,6.0253e-20
0.5621,5.8864e-20
0.5624,5.7640e-20
0.5626,5.6550e-20
0.5629,5.5463e-20
0.5632,5.4380e-20
0.5635,5.3364e-20
0.5638,5.2378e-20
0.5640,5.1380e-20
0.5643,5.0413e-20
0.5646,4.9493e-20
0.5649,4.8600e-20
0.5652,4.7744e-20
0.5655,4.6911e-20
0.5657,4.6108e-20
0.5660,4.5346e-20
0.5663,4.4607e-20
0.5666,4.3882e-20
0.5669,4.3163e-20
0.5671,4.2461e-20
0.5674,4.1795e-20
0.5677,4.1153e-20
0.5680,4.0491e-20
0.5683,3.9765e-20
0.5686,3.9100e-20
0.5689,3.8348e-20
0.5691,3.7409e-20
0.5694,3.6239e-20
0.5697,3.4859e-20
0.5700,3.3492e-20
0.5703,3.2203e-20
0.5706,3.0989e-20
0.5708,2.9842e-20
0.5711,2.8760e-20
0.5714,2.7737e-20
0.5717,2.6769e-20
0.5720,2.5832e-20
0.5723,2.4828e-20
0.5726,2.3662e-20
0.5728,2.2441e-20
0.5731,2.1286e-20
0.5734,2.0208e-20
0.5737,1.9177e-20
0.5740,1.8212e-20
0.5743,1.7375e-20
0.5746,1.6611e-20
0.5749,1.5884e-20
0.5751,1.5202e-20
0.5754,1.4558e-20
0.5757,1.3931e-20
0.5760,1.3324e-20
0.5763,1.2748e-20
0.5766,1.2208e-20
0.5769,1.1703e-20
0.5772,1.1232e-20
0.5774,1.0791e-20
0.5777,1.0377e-20
0.5780,9.9870e-21
0.5783,9.6172e-21
0.5786,9.2428e-21
0.5789,8.7227e-21
0.5792,7.9256e-21
0.5795,7.0413e-21
0.5798,6.2666e-21
0.5801,5.6227e-21
0.5803,5.0846e-21
0.5806,4.6322e-21
0.5809,4.2485e-21
0.5812,3.9205e-21
0.5815,3.6383e-21
0.5818,3.3927e-21
0.5821,3.1619e-21
0.5824,2.8958e-21
0.5827,2.5924e-21
0.5830,2.3172e-21
0.5833,2.0947e-21
0.5835,1.9157e-21
0.5838,1.7690e-21
0.5841,1.6467e-21
0.5844,1.5435e-21
0.5847,1.4554e-21
0.5850,1.3794e-21
0.5853,1.3116e-21
0.5856,1.2388e-21
0.5859,1.1402e-21
0.5862,1.0253e-21
0.5865,9.0774e-22
0.5868,7.7640e-22
0.5871,6.2035e-22
0.5873,4.5585e-22
0.5876,3.2180e-22
0.5879,2.1607e-22
0.5882,1.2957e-22
0.5885,6.5304e-23
0.5888,2.5427e-23
0.5891,9.1123e-24
0.5894,7.5356e-24
0.5897,1.1933e-23
0.5900,3.3162e-23
0.5903,8.4484e-23
0.5906,1.6652e-22
0.5909,2.7707e-22
0.5912,4.1205e-22
0.5915,5.7042e-22
0.5918,7.5788e-22
0.5921,9.6583e-22
0.5924,1.2168e-21
0.5927,1.4540e-21
0.5930,1.6683e-21
0.5932,1.9450e-21
0.5935,2.1656e-21
0.5938,2.3370e-21
0.5941,2.6668e-21
0.5944,2.9764e-21
0.5947,3.1721e-21
0.5950,3.3252e-21
0.5953,3.7799e-21
0.5956,4.2735e-21
0.5959,4.4781e-21
0.5962,4.7823e-21
0.5965,5.3456e-21
0.5968,6.0830e-21
0.5971,7.0638e-21
0.5974,7.9490e-21
0.5977,8.1939e-21
0.5980,9.0975e-21
0.5983,1.1278e-20
0.5986,1.2900e-20
0.5989,1.4032e-20
0.5992,1.6044e-20
0.5995,1.7933e-20
0.5998,1.8998e-20
0.6001,2.0597e-20
0.6004,2.2490e-20
0.6007,2.6403e-20
0.6010,2.9164e-20
0.6013,2.7316e-20
0.6016,2.6981e-20
0.6019,2.9819e-20
0.6022,3.3695e-20
0.6025,3.6817e-20
0.6028,3.7931e-20
0.6031,3.9734e-20
0.6034,4.4711e-20
0.6037,5.0393e-20
0.6040,5.1767e-20
0.6043,5.0454e-20
0.6046,5.2718e-20
0.6049,5.7969e-20
0.6052,6.4086e-20
0.6055,7.1674e-20
0.6058,7.6250e-20
0.6061,7.5535e-20
0.6064,7.3845e-20
0.6067,7.8591e-20
0.6070,8.8869e-20
0.6074,9.4785e-20
0.6077,9.5567e-20
0.6080,9.8773e-20
0.6083,1.0276e-19
0.6086,1.0541e-19
0.6089,1.1169e-19
0.6092,1.2361e-19
0.6095,1.3793e-19
0.6098,1.4721e-19
0.6101,1.4591e-19
0.6104,1.4038e-19
0.6107,1.4397e-19
0.6110,1.6074e-19
0.6113,1.8004e-19
0.6116,1.8937e-19
0.6119,1.9220e-19
0.6122,1.9601e-19
0.6125,1.9663e-19
0.6128,1.9334e-19
0.6131,1.9624e-19
0.6135,2.1051e-19
0.6138,2.2835e-19
0.6141,2.3830e-19
0.6144,2.3933e-19
0.6147,2.4087e-19
0.6150,2.4466e-19
0.6153,2.4822e-19
0.6156,2.5336e-19
0.6159,2.6122e-19
0.6162,2.7494e-19
0.6165,2.9620e-19
0.6168,3.2258e-19
0.6171,3.4592e-19
0.6175,3.5620e-19
0.6178,3.5610e-19
0.6181,3.5322e-19
0.6184,3.4985e-19
0.6187,3.5263e-19
0.6190,3.7045e-19
0.6193,4.0208e-19
0.6196,4.3413e-19
0.6199,4.5133e-19
0.6202,4.4817e-19
0.6205,4.3392e-19
0.6209,4.2400e-19
0.6212,4.2826e-19
0.6215,4.4401e-19
0.6218,4.6368e-19
0.6221,4.8294e-19
0.6224,5.0382e-19
0.6227,5.3188e-19
0.6230,5.5560e-19
0.6233,5.6381e-19
0.6237,5.6181e-19
0.6240,5.5906e-19
0.6243,5.6510e-19
0.6246,5.8136e-19
0.6249,5.9996e-19
0.6252,6.1465e-19
0.6255,6.2868e-19
0.6258,6.4683e-19
0.6262,6.7358e-19
0.6265,7.0917e-19
0.6268,7.4794e-19
0.6271,7.7991e-19
0.6274,7.9747e-19
0.6277,7.9874e-19
0.6280,7.9397e-19
0.6284,7.9643e-19
0.6287,8.0944e-19
0.6290,8.2932e-19
0.6293,8.5157e-19
0.6296,8.7745e-19
0.6299,9.1455e-19
0.6302,9.5766e-19
0.6306,9.9345e-19
0.6309,1.0159e-18
0.6312,1.0233e-18
0.6315,1.0159e-18
0.6318,9.9898e-19
0.6321,9.8592e-19
0.6324,9.9093e-19
0.6328,1.0166e-18
0.6331,1.0626e-18
0.6334,1.1239e-18
0.6337,1.1864e-18
0.6340,1.2460e-18
0.6343,1.2921e-18
0.6347,1.3239e-18
0.6350,1.3477e-18
0.6353,1.3612e-18
0.6356,1.3671e-18
0.6359,1.3716e-18
0.6363,1.3848e-18
0.6366,1.4093e-18
0.6369,1.4397e-18
0.6372,1.4640e-18
0.6375,1.4879e-18
0.6378,1.5117e-18
0.6382,1.5271e-18
0.6385,1.5325e-18
0.6388,1.5393e-18
0.6391,1.5721e-18
0.6394,1.6206e-18
0.6398,1.6719e-18
0.6401,1.7303e-18
0.6404,1.7874e-18
0.6407,1.8269e-18
0.6410,1.8541e-18
0.6414,1.8785e-18
0.6417,1.8887e-18
0.6420,1.8884e-18
0.6423,1.8890e-18
0.6426,1.9192e-18
0.6430,1.9851e-18
0.6433,2.0522e-18
0.6436,2.1205e-18
0.6439,2.1881e-18
0.6443,2.2445e-18
0.6446,2.2973e-18
0.6449,2.3451e-18
0.6452,2.3737e-18
0.6455,2.3868e-18
0.6459,2.4022e-18
0.6462,2.4046e-18
0.6465,2.3986e-18
0.6468,2.4208e-18
0.6472,2.4602e-18
0.6475,2.4749e-18
0.6478,2.4568e-18
0.6481,2.4459e-18
0.6485,2.5125e-18
0.6488,2.5883e-18
0.6491,2.6608e-18
0.6494,2.7449e-18
0.6498,2.8406e-18
0.6501,2.9160e-18
0.6504,2.9901e-18
0.6507,3.0755e-18
0.6511,3.1231e-18
0.6514,3.1077e-18
0.6517,3.0976e-18
0.6520,3.1343e-18
0.6524,3.1838e-18
0.6527,3.2373e-18
0.6530,3.2630e-18
0.6533,3.2622e-18
0.6537,3.2676e-18
0.6540,3.2926e-18
0.6543,3.3189e-18
0.6546,3.3501e-18
0.6550,3.3582e-18
0.6553,3.3621e-18
0.6556,3.3919e-18
0.6560,3.4353e-18
0.6563,3.4729e-18
0.6566,3.5222e-18
0.6569,3.6004e-18
0.6573,3.6974e-18
0.6576,3.8039e-18
0.6579,3.8843e-18
0.6583,3.9358e-18
0.6586,4.0342e-18
0.6589,4.1468e-18
0.6592,4.1949e-18
0.6596,4.2194e-18
0.6599,4.2405e-18
0.6602,4.2822e-18
0.6606,4.3442e-18
0.6609,4.3793e-18
0.6612,4.3936e-18
0.6615,4.4385e-18
0.6619,4.4735e-18
0.6622,4.5095e-18
0.6625,4.5522e-18
0.6629,4.6199e-18
0.6632,4.7217e-18
0.6635,4.7661e-18
0.6639,4.7730e-18
0.6642,4.8037e-18
0.6645,4.8424e-18
0.6649,4.8636e-18
0.6652,4.8141e-18
0.6655,4.7579e-18
0.6659,4.8021e-18
0.6662,4.8913e-18
0.6665,4.9472e-18
0.6669,5.0299e-18
0.6672,5.1512e-18
0.6675,5.2505e-18
0.6679,5.3332e-18
0.6682,5.3421e-18
0.6685,5.3635e-18
0.6689,5.4902e-18
0.6692,5.6146e-18
0.6695,5.7142e-18
0.6699,5.8438e-18
0.6702,6.0101e-18
0.6705,6.1176e-18
0.6709,6.1995e-18
0.6712,6.2851e-18
0.6715,6.2899e-18
0.6719,6.2188e-18
0.6722,6.2517e-18
0.6726,6.3934e-18
0.6729,6.5080e-18
0.6732,6.5719e-18
0.6736,6.7102e-18
0.6739,6.7894e-18
0.6742,6.8485e-18
0.6746,6.9293e-18
0.6749,6.8281e-18
0.6752,6.7366e-18
0.6756,6.8040e-18
0.6759,6.9610e-18
0.6763,7.0760e-18
0.6766,7.1485e-18
0.6769,7.2410e-18
0.6773,7.3538e-18
0.6776,7.4233e-18
0.6780,7.4244e-18
0.6783,7.3478e-18
0.6786,7.2714e-18
0.6790,7.3838e-18
0.6793,7.5687e-18
0.6797,7.6966e-18
0.6800,7.8348e-18
0.6803,8.0220e-18
0.6807,8.2474e-18
0.6810,8.5000e-18
0.6814,8.6888e-18
0.6817,8.7602e-18
0.6820,8.8007e-18
0.6824,8.8490e-18
0.6827,8.9600e-18
0.6831,9.1842e-18
0.6834,9.3453e-18
0.6837,9.4223e-18
0.6841,9.5001e-18
0.6844,9.5692e-18
0.6848,9.5591e-18
0.6851,9.3718e-18
0.6855,9.1613e-18
0.6858,9.1513e-18
0.6861,9.2285e-18
0.6865,9.2827e-18
0.6868,9.3417e-18
0.6872,9.3738e-18
0.6875,9.3967e-18
0.6879,9.4441e-18
0.6882,9.3908e-18
0.6885,9.1817e-18
0.6889,9.1002e-18
0.6892,9.0848e-18
0.6896,9.0422e-18
0.6899,9.1120e-18
0.6903,9.1587e-18
0.6906,9.2083e-18
0.6910,9.2152e-18
0.6913,9.1058e-18
0.6916,9.1043e-18
0.6920,8.9312e-18
0.6923,8.7493e-18
0.6927,8.8627e-18
0.6930,8.9392e-18
0.6934,9.0261e-18
0.6937,8.9901e-18
0.6941,8.7938e-18
0.6944,8.9062e-18
0.6948,9.1069e-18
0.6951,9.1959e-18
0.6955,9.1077e-18
0.6958,9.1865e-18
0.6962,9.2647e-18
0.6965,9.3701e-18
0.6969,9.4979e-18
0.6972,9.5062e-18
0.6975,9.4316e-18
0.6979,9.2637e-18
0.6982,9.1874e-18
0.6986,9.3678e-18
0.6989,9.4462e-18
0.6993,9.4204e-18
0.6996,9.4264e-18
0.7000,9.4451e-18
0.7003,9.4727e-18
0.7007,9.5205e-18
0.7010,9.5565e-18
0.7014,9.5098e-18
0.7017,9.5903e-18
0.7021,9.7215e-18
0.7024,9.8027e-18
0.7028,9.8624e-18
0.7031,9.9792e-18
0.7035,1.0171e-17
0.7039,1.0246e-17
0.7042,1.0191e-17
0.7046,1.0282e-17
0.7049,1.0398e-17
0.7053,1.0190e-17
0.7056,9.7139e-18
0.7060,9.5326e-18
0.7063,9.6260e-18
0.7067,9.8237e-18
0.7070,1.0014e-17
0.7074,1.0138e-17
0.7077,1.0212e-17
0.7081,1.0274e-17
0.7084,1.0452e-17
0.7088,1.0393e-17
0.7092,1.0071e-17
0.7095,1.0002e-17
0.7099,1.0056e-17
0.7102,1.0081e-17
0.7106,1.0312e-17
0.7109,1.0526e-17
0.7113,1.0725e-17
0.7116,1.0933e-17
0.7120,1.0988e-17
0.7123,1.0836e-17
0.7127,1.0513e-17
0.7131,1.0365e-17
0.7134,1.0328e-17
0.7138,1.0431e-17
0.7141,1.0683e-17
0.7145,1.0900e-17
0.7148,1.0940e-17
0.7152,1.0971e-17
0.7156,1.1049e-17
0.7159,1.0926e-17
0.7163,1.0636e-17
0.7166,1.0377e-17
0.7170,1.0470e-17
0.7174,1.0657e-17
0.7177,1.0868e-17
0.7181,1.1148e-17
0.7184,1.1284e-17
0.7188,1.1275e-17
0.7191,1.1423e-17
0.7195,1.1453e-17
0.7199,1.1381e-17
0.7202,1.1350e-17
0.7206,1.1442e-17
0.7209,1.1547e-17
0.7213,1.1678e-17
0.7217,1.1832e-17
0.7220,1.1908e-17
0.7224,1.2082e-17
0.7227,1.2218e-17
0.7231,1.2265e-17
0.7235,1.2266e-17
0.7238,1.2264e-17
0.7242,1.2314e-17
0.7246,1.2486e-17
0.7249,1.2623e-17
0.7253,1.2652e-17
0.7256,1.2784e-17
0.7260,1.2967e-17
0.7264,1.2905e-17
0.7267,1.2745e-17
0.7271,1.2782e-17
0.7275,1.2852e-17
0.7278,1.2767e-17
0.7282,1.2819e-17
0.7286,1.3003e-17
0.7289,1.2986e-17
0.7293,1.2899e-17
0.7296,1.2857e-17
0.7300,1.2873e-17
0.7304,1.2785e-17
0.7307,1.2790e-17
0.7311,1.2947e-17
0.7315,1.2939e-17
0.7318,1.2892e-17
0.7322,1.2938e-17
0.7326,1.2963e-17
0.7329,1.2805e-17
0.7333,1.2553e-17
0.7337,1.2430e-17
0.7340,1.2546e-17
0.7344,1.2351e-17
0.7348,1.1786e-17
0.7351,1.1563e-17
0.7355,1.1598e-17
0.7359,1.1549e-17
0.7362,1.1526e-17
0.7366,1.1609e-17
0.7370,1.1687e-17
0.7373,1.1472e-17
0.7377,1.1169e-17
0.7381,1.1257e-17
0.7385,1.1160e-17
0.7388,1.1070e-17
0.7392,1.1043e-17
0.7396,1.0803e-17
0.7399,1.0691e-17
0.7403,1.0609e-17
0.7407,1.0275e-17
0.7410,1.0067e-17
0.7414,1.0020e-17
0.7418,9.6733e-18
0.7422,9.5627e-18
0.7425,9.7552e-18
0.7429,9.9708e-18
0.7433,1.0037e-17
0.7436,9.8566e-18
0.7440,9.7631e-18
0.7444,9.7717e-18
0.7448,9.7066e-18
0.7451,9.5669e-18
0.7455,9.1695e-18
0.7459,8.7299e-18
0.7462,8.6443e-18
0.7466,8.7219e-18
0.7470,8.8722e-18
0.7474,9.1847e-18
0.7477,9.4372e-18
0.7481,9.4996e-18
0.7485,9.4525e-18
0.7489,9.2402e-18
0.7492,8.7924e-18
0.7496,8.2536e-18
0.7500,7.7591e-18
0.7504,7.5488e-18
0.7507,7.6448e-18
0.7511,7.9179e-18
0.7515,8.2435e-18
0.7519,8.4231e-18
0.7522,8.4110e-18
0.7526,8.2095e-18
0.7530,7.7664e-18
0.7534,7.1674e-18
0.7537,6.7932e-18
0.7541,6.8695e-18
0.7545,7.2862e-18
0.7549,7.8213e-18
0.7553,8.0594e-18
0.7556,7.7528e-18
0.7560,7.1225e-18
0.7564,6.3599e-18
0.7568,5.8153e-18
0.7571,6.0204e-18
0.7575,6.8063e-18
0.7579,7.0371e-18
0.7583,6.4824e-18
0.7587,5.8789e-18
0.7590,5.3454e-18
0.7594,5.1699e-18
0.7598,5.7590e-18
0.7602,5.9132e-18
0.7606,5.1409e-18
0.7609,4.8001e-18
0.7613,4.7295e-18
0.7617,4.5792e-18
0.7621,4.4969e-18
0.7625,4.3196e-18
0.7628,3.9168e-18
0.7632,3.3366e-18
0.7636,2.8641e-18
0.7640,2.2070e-18
0.7644,1.4275e-18
0.7647,7.5895e-19
0.7651,3.0466e-19
0.7655,9.8170e-20
0.7659,3.3348e-20
0.7663,1.3296e-20
0.7667,5.4550e-21
0.7670,3.6321e-21
0.7674,4.7410e-21
0.7678,9.4488e-21
0.7682,2.1142e-20
0.7686,3.7201e-20
0.7690,4.4020e-20
0.7694,3.4707e-20
0.7697,1.9482e-20
0.7701,9.0958e-21
0.7705,6.5704e-21
0.7709,8.8821e-21
0.7713,1.8749e-20
0.7717,4.6097e-20
0.7720,1.0581e-19
0.7724,2.2038e-19
0.7728,4.2015e-19
0.7732,7.2612e-19
0.7736,1.1311e-18
0.7740,1.6069e-18
0.7744,2.1214e-18
0.7748,2.6453e-18
0.7751,3.1665e-18
0.7755,3.7020e-18
0.7759,4.2623e-18
0.7763,4.8029e-18
0.7767,5.2676e-18
0.7771,5.7288e-18
0.7775,6.2300e-18
0.7779,6.6699e-18
0.7782,7.0186e-18
0.7786,7.4345e-18
0.7790,7.9573e-18
0.7794,8.3665e-18
0.7798,8.5897e-18
0.7802,8.7208e-18
0.7806,8.9103e-18
0.7810,9.3024e-18
0.7814,9.8359e-18
0.7818,1.0276e-17
0.7821,1.0444e-17
0.7825,1.0489e-17
0.7829,1.0684e-17
0.7833,1.1083e-17
0.7837,1.1507e-17
0.7841,1.1777e-17
0.7845,1.2122e-17
0.7849,1.2526e-17
0.7853,1.2661e-17
0.7857,1.2851e-17
0.7861,1.3111e-17
0.7865,1.3192e-17
0.7869,1.3223e-17
0.7872,1.3541e-17
0.7876,1.3880e-17
0.7880,1.4232e-17
0.7884,1.4624e-17
0.7888,1.4944e-17
0.7892,1.5214e-17
0.7896,1.5264e-17
0.7900,1.5284e-17
0.7904,1.5903e-17
0.7908,1.6393e-17
0.7912,1.6166e-17
0.7916,1.6294e-17
0.7920,1.6774e-17
0.7924,1.7123e-17
0.7928,1.7357e-17
0.7932,1.7634e-17
0.7936,1.7975e-17
0.7940,1.8328e-17
0.7944,1.8430e-17
0.7948,1.8962e-17
0.7952,1.9556e-17
0.7956,1.9746e-17
0.7960,1.9614e-17
0.7963,1.9685e-17
0.7967,2.0350e-17
0.7971,2.1003e-17
0.7975,2.0859e-17
0.7979,2.0180e-17
0.7983,2.0141e-17
0.7987,2.0301e-17
0.7991,2.0622e-17
0.7995,2.1527e-17
0.7999,2.2132e-17
0.8003,2.2846e-17
0.8007,2.3857e-17
0.8011,2.4511e-17
0.8015,2.4789e-17
0.8019,2.5151e-17
0.8023,2.5335e-17
0.8027,2.5435e-17
0.8031,2.5726e-17
0.8035,2.6268e-17
0.8039,2.6761e-17
0.8044,2.6897e-17
0.8048,2.7013e-17
0.8052,2.7514e-17
0.8056,2.8187e-17
0.8060,2.8897e-17
0.8064,2.9521e-17
0.8068,3.0219e-17
0.8072,3.1045e-17
0.8076,3.1919e-17
0.8080,3.2377e-17
0.8084,3.2550e-17
0.8088,3.2840e-17
0.8092,3.3175e-17
0.8096,3.3707e-17
0.8100,3.4188e-17
0.8104,3.4364e-17
0.8108,3.4364e-17
0.8112,3.4418e-17
0.8116,3.5304e-17
0.8120,3.6703e-17
0.8124,3.7827e-17
0.8128,3.9016e-17
0.8132,3.9478e-17
0.8137,4.0030e-17
0.8141,4.0928e-17
0.8145,4.1647e-17
0.8149,4.2522e-17
0.8153,4.3145e-17
0.8157,4.3263e-17
0.8161,4.3152e-17
0.8165,4.3625e-17
0.8169,4.4970e-17
0.8173,4.5744e-17
0.8177,4.4911e-17
0.8181,4.0768e-17
0.8185,3.6957e-17
0.8190,3.9044e-17
0.8194,3.7412e-17
0.8198,3.5012e-17
0.8202,4.0352e-17
0.8206,4.4971e-17
0.8210,4.6478e-17
0.8214,4.7647e-17
0.8218,4.8622e-17
0.8222,4.8982e-17
0.8226,4.8390e-17
0.8231,4.7843e-17
0.8235,4.9031e-17
0.8239,5.0739e-17
0.8243,5.1909e-17
0.8247,5.3181e-17
0.8251,5.4041e-17
0.8255,5.4088e-17
0.8259,5.4434e-17
0.8264,5.4782e-17
0.8268,5.5279e-17
0.8272,5.4821e-17
0.8276,5.4002e-17
0.8280,5.4325e-17
0.8284,5.5082e-17
0.8288,5.5244e-17
0.8293,5.4894e-17
0.8297,5.5027e-17
0.8301,5.5612e-17
0.8305,5.6344e-17
0.8309,5.7485e-17
0.8313,5.8468e-17
0.8317,5.8887e-17
0.8322,5.9387e-17
0.8326,6.0624e-17
0.8330,6.2083e-17
0.8334,6.2010e-17
0.8338,6.1569e-17
0.8342,6.2207e-17
0.8347,6.2865e-17
0.8351,6.2889e-17
0.8355,6.2412e-17
0.8359,6.2774e-17
0.8363,6.3838e-17
0.8368,6.4693e-17
0.8372,6.4806e-17
0.8376,6.4585e-17
0.8380,6.5542e-17
0.8384,6.6329e-17
0.8388,6.6199e-17
0.8393,6.7562e-17
0.8397,6.8476e-17
0.8401,6.8777e-17
0.8405,6.8885e-17
0.8409,6.8995e-17
0.8414,7.0318e-17
0.8418,7.0492e-17
0.8422,7.0046e-17
0.8426,7.0887e-17
0.8430,7.0065e-17
0.8435,6.7748e-17
0.8439,6.6297e-17
0.8443,6.5311e-17
0.8447,6.3936e-17
0.8452,6.3424e-17
0.8456,6.2652e-17
0.8460,6.3276e-17
0.8464,6.3766e-17
0.8468,6.3953e-17
0.8473,6.4695e-17
0.8477,6.5956e-17
0.8481,6.7336e-17
0.8485,6.8467e-17
0.8490,6.9632e-17
0.8494,7.0155e-17
0.8498,6.9966e-17
0.8502,7.0443e-17
0.8507,7.0867e-17
0.8511,7.0683e-17
0.8515,7.0330e-17
0.8519,6.9667e-17
0.8524,7.0299e-17
0.8528,7.1613e-17
0.8532,7.2776e-17
0.8536,7.3055e-17
0.8541,7.1465e-17
0.8545,7.1350e-17
0.8549,7.2289e-17
0.8554,7.3347e-17
0.8558,7.4441e-17
0.8562,7.5011e-17
0.8566,7.6081e-17
0.8571,7.6741e-17
0.8575,7.4726e-17
0.8579,7.3392e-17
0.8584,7.4992e-17
0.8588,7.6444e-17
0.8592,7.6625e-17
0.8596,7.7075e-17
0.8601,7.7054e-17
0.8605,7.6263e-17
0.8609,7.5675e-17
0.8614,7.4726e-17
0.8618,7.3969e-17
0.8622,7.3914e-17
0.8627,7.2541e-17
0.8631,7.1804e-17
0.8635,7.2307e-17
0.8640,7.2312e-17
0.8644,7.1942e-17
0.8648,7.2875e-17
0.8652,7.5027e-17
0.8657,7.7537e-17
0.8661,7.8805e-17
0.8665,7.8745e-17
0.8670,7.6802e-17
0.8674,7.5890e-17
0.8678,7.7209e-17
0.8683,7.6851e-17
0.8687,7.6815e-17
0.8692,7.7178e-17
0.8696,7.4655e-17
0.8700,7.3548e-17
0.8705,7.4625e-17
0.8709,7.4870e-17
0.8713,7.3721e-17
0.8718,7.4365e-17
0.8722,7.6058e-17
0.8726,7.7454e-17
0.8731,7.9404e-17
0.8735,7.9620e-17
0.8739,7.8631e-17
0.8744,8.0379e-17
0.8748,8.2217e-17
0.8753,8.2881e-17
0.8757,8.5945e-17
0.8761,8.7641e-17
0.8766,8.6379e-17
