wave[um],flux[W/m^2/um]
0.3391,2.7272e-19
0.3393,2.8505e-19
0.3394,2.9716e-19
0.3396,3.0932e-19
0.3398,3.2167e-19
0.3399,3.3418e-19
0.3401,3.4706e-19
0.3403,3.6002e-19
0.3404,3.7234e-19
0.3406,3.8430e-19
0.3408,3.9643e-19
0.3410,4.0838e-19
0.3411,4.1991e-19
0.3413,4.3127e-19
0.3415,4.4129e-19
0.3416,4.4981e-19
0.3418,4.5723e-19
0.3420,4.6389e-19
0.3422,4.6857e-19
0.3423,4.7053e-19
0.3425,4.6995e-19
0.3427,4.6493e-19
0.3428,4.5472e-19
0.3430,4.3855e-19
0.3432,4.1544e-19
0.3433,3.8428e-19
0.3435,3.4366e-19
0.3437,2.9081e-19
0.3439,2.2637e-19
0.3440,1.5529e-19
0.3442,8.6984e-20
0.3444,3.5433e-20
0.3446,8.9091e-21
0.3447,1.3651e-21
0.3449,3.4941e-21
0.3451,1.9732e-20
0.3452,6.2491e-20
0.3454,1.3300e-19
0.3456,2.1995e-19
0.3458,3.1148e-19
0.3459,3.9974e-19
0.3461,4.8121e-19
0.3463,5.5433e-19
0.3465,6.1799e-19
0.3466,6.7121e-19
0.3468,7.1911e-19
0.3470,7.6326e-19
0.3471,8.0256e-19
0.3473,8.3736e-19
0.3475,8.7045e-19
0.3477,9.0487e-19
0.3478,9.3890e-19
0.3480,9.7083e-19
0.3482,9.9591e-19
0.3484,1.0189e-18
0.3485,1.0454e-18
0.3487,1.0771e-18
0.3489,1.1044e-18
0.3491,1.1270e-18
0.3492,1.1512e-18
0.3494,1.1779e-18
0.3496,1.2054e-18
0.3498,1.2281e-18
0.3499,1.2450e-18
0.3501,1.2651e-18
0.3503,1.2866e-18
0.3505,1.2923e-18
0.3506,1.3025e-18
0.3508,1.3176e-18
0.3510,1.3134e-18
0.3512,1.3135e-18
0.3513,1.3156e-18
0.3515,1.3147e-18
0.3517,1.3203e-18
0.3519,1.3461e-18
0.3520,1.3933e-18
0.3522,1.4468e-18
0.3524,1.4437e-18
0.3526,1.4419e-18
0.3527,1.4655e-18
0.3529,1.4737e-18
0.3531,1.4866e-18
0.3533,1.5274e-18
0.3534,1.5602e-18
0.3536,1.5734e-18
0.3538,1.5998e-18
0.3540,1.6382e-18
0.3542,1.6572e-18
0.3543,1.6571e-18
0.3545,1.6527e-18
0.3547,1.6613e-18
0.3549,1.6705e-18
0.3550,1.6598e-18
0.3552,1.6882e-18
0.3554,1.7012e-18
0.3556,1.7416e-18
0.3558,1.7477e-18
0.3559,1.7449e-18
0.3561,1.7699e-18
0.3563,1.7750e-18
0.3565,1.8416e-18
0.3566,1.8734e-18
0.3568,1.8573e-18
0.3570,1.9075e-18
0.3572,1.9239e-18
0.3574,1.9529e-18
0.3575,2.0144e-18
0.3577,2.0083e-18
0.3579,2.0030e-18
0.3581,2.0528e-18
0.3583,2.0382e-18
0.3584,2.0409e-18
0.3586,2.0771e-18
0.3588,2.0354e-18
0.3590,2.0017e-18
0.3591,2.0616e-18
0.3593,2.0877e-18
0.3595,2.0832e-18
0.3597,2.1246e-18
0.3599,2.1424e-18
0.3600,2.1214e-18
0.3602,2.1115e-18
0.3604,2.1594e-18
0.3606,2.1357e-18
0.3608,2.1437e-18
0.3609,2.2699e-18
0.3611,2.3001e-18
0.3613,2.2229e-18
0.3615,2.2229e-18
0.3617,2.3261e-18
0.3619,2.3350e-18
0.3620,2.2539e-18
0.3622,2.3611e-18
0.3624,2.4875e-18
0.3626,2.4567e-18
0.3628,2.2914e-18
0.3629,2.2336e-18
0.3631,2.2801e-18
0.3633,2.2929e-18
0.3635,2.3002e-18
0.3637,2.3033e-18
0.3638,2.3808e-18
0.3640,2.3880e-18
0.3642,2.3551e-18
0.3644,2.3983e-18
0.3646,2.4317e-18
0.3648,2.4519e-18
0.3649,2.4541e-18
0.3651,2.4445e-18
0.3653,2.5695e-18
0.3655,2.6707e-18
0.3657,2.6218e-18
0.3659,2.5980e-18
0.3660,2.6835e-18
0.3662,2.7343e-18
0.3664,2.7767e-18
0.3666,2.7572e-18
0.3668,2.6742e-18
0.3670,2.6371e-18
0.3671,2.5496e-18
0.3673,2.3824e-18
0.3675,2.3068e-18
0.3677,2.3275e-18
0.3679,2.3946e-18
0.3681,2.3675e-18
0.3682,2.4032e-18
0.3684,2.5443e-18
0.3686,2.5949e-18
0.3688,2.5665e-18
0.3690,2.5785e-18
0.3692,2.5537e-18
0.3693,2.4634e-18
0.3695,2.4520e-18
0.3697,2.5969e-18
0.3699,2.6708e-18
0.3701,2.5893e-18
0.3703,2.5973e-18
0.3705,2.7189e-18
0.3706,2.8123e-18
0.3708,2.8314e-18
0.3710,2.7170e-18
0.3712,2.6323e-18
0.3714,2.5957e-18
0.3716,2.5998e-18
0.3718,2.5799e-18
0.3719,2.6102e-18
0.3721,2.6376e-18
0.3723,2.6458e-18
0.3725,2.7297e-18
0.3727,2.7279e-18
0.3729,2.6340e-18
0.3731,2.5612e-18
0.3732,2.5381e-18
0.3734,2.7220e-18
0.3736,2.8360e-18
0.3738,2.7289e-18
0.3740,2.7318e-18
0.3742,2.8196e-18
0.3744,2.9955e-18
0.3746,3.1205e-18
0.3747,2.9741e-18
0.3749,2.8255e-18
0.3751,2.8584e-18
0.3753,2.9152e-18
0.3755,2.7888e-18
0.3757,2.6472e-18
0.3759,2.6663e-18
0.3761,2.6478e-18
0.3762,2.6091e-18
0.3764,2.5556e-18
0.3766,2.4623e-18
0.3768,2.4501e-18
0.3770,2.5066e-18
0.3772,2.5075e-18
0.3774,2.4360e-18
0.3776,2.4408e-18
0.3777,2.5266e-18
0.3779,2.6431e-18
0.3781,2.6826e-18
0.3783,2.6203e-18
0.3785,2.7380e-18
0.3787,2.7996e-18
0.3789,2.6048e-18
